date,stage,match,selection,decimal_odds,market_probability,model_probability,value_gap,signal,risk_label,confidence_score,kelly_stake_pct,bankroll_note,quality_label
2026-06-24,FIFA World Cup,Scotland vs Brazil,Draw,4.77,0.2096,0.2388,0.0291,NO BET,HIGH RISK,0.2079,0.0092,No bet suggested.,NO_BET
2026-06-23,FIFA World Cup,Jordan vs Algeria,Draw,4.12,0.2427,0.255,0.0123,NO BET,HIGH RISK,0.2073,0.0041,No bet suggested.,NO_BET
2026-06-16,FIFA World Cup,France vs Senegal,Draw,4.37,0.2288,0.2475,0.0187,NO BET,HIGH RISK,0.2062,0.0061,No bet suggested.,NO_BET
2026-06-17,FIFA World Cup,Austria vs Jordan,Draw,5.43,0.1842,0.245,0.0608,NO BET,VERY HIGH RISK,0.2058,0.0186,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,Panama vs England,Draw,5.97,0.1675,0.235,0.0675,NO BET,VERY HIGH RISK,0.2025,0.0203,No bet suggested.,NO_BET
2026-06-14,FIFA World Cup,Australia vs Turkey,Draw,3.69,0.271,0.2662,-0.0048,NO BET,HIGH RISK,0.2015,0.0,No bet suggested.,NO_BET
2026-06-20,FIFA World Cup,Turkey vs Paraguay,Turkey,2.21,0.4525,0.3419,-0.1106,NO BET,MEDIUM RISK,0.2013,0.0,No bet suggested.,NO_BET
2026-06-20,FIFA World Cup,Germany vs Ivory Coast,Draw,4.22,0.237,0.2487,0.0118,NO BET,HIGH RISK,0.2005,0.0039,No bet suggested.,NO_BET
2026-06-17,FIFA World Cup,Portugal vs DR Congo,Draw,5.72,0.1748,0.2375,0.0627,NO BET,VERY HIGH RISK,0.2002,0.019,No bet suggested.,NO_BET
2026-06-23,FIFA World Cup,England vs Ghana,Draw,5.32,0.188,0.2437,0.0558,NO BET,VERY HIGH RISK,0.1995,0.0172,No bet suggested.,NO_BET
2026-06-15,FIFA World Cup,Saudi Arabia vs Uruguay,Draw,4.43,0.2257,0.2425,0.0168,NO BET,HIGH RISK,0.1993,0.0054,No bet suggested.,NO_BET
2026-06-19,FIFA World Cup,USA vs Australia,Draw,3.74,0.2674,0.2625,-0.0049,NO BET,HIGH RISK,0.1976,0.0,No bet suggested.,NO_BET
2026-06-20,FIFA World Cup,Germany vs Ivory Coast,Ivory Coast,5.64,0.1773,0.2373,0.06,NO BET,VERY HIGH RISK,0.1973,0.0182,No bet suggested.,NO_BET
2026-06-28,FIFA World Cup,Jordan vs Argentina,Draw,6.76,0.1479,0.2225,0.0746,NO BET,VERY HIGH RISK,0.1971,0.0219,No bet suggested.,NO_BET
2026-06-18,FIFA World Cup,Switzerland vs Bosnia & Herzegovina,Draw,3.94,0.2538,0.255,0.0012,NO BET,HIGH RISK,0.1962,0.0004,No bet suggested.,NO_BET
2026-06-21,FIFA World Cup,Tunisia vs Japan,Tunisia,5.19,0.1927,0.2443,0.0517,NO BET,VERY HIGH RISK,0.196,0.016,No bet suggested.,NO_BET
