match_id,date,stage,team_a,team_b,selection,decimal_odds,implied_probability,model_probability,value_gap,kelly_stake_pct,signal,risk_label,confidence_score,quality_label
1,2026-06-11,FIFA World Cup,Mexico,South Africa,Draw,4.49,0.2227,0.2462,0.0235,0.0076,NO BET,HIGH RISK,0.2098,NO_BET
45,2026-06-23,FIFA World Cup,Portugal,Uzbekistan,Draw,6.22,0.1608,0.235,0.0742,0.0221,NO BET,VERY HIGH RISK,0.2092,NO_BET
51,2026-06-24,FIFA World Cup,Scotland,Brazil,Draw,4.77,0.2096,0.2388,0.0291,0.0092,NO BET,HIGH RISK,0.2079,NO_BET
44,2026-06-23,FIFA World Cup,Jordan,Algeria,Draw,4.12,0.2427,0.255,0.0123,0.0041,NO BET,HIGH RISK,0.2073,NO_BET
17,2026-06-16,FIFA World Cup,France,Senegal,Draw,4.37,0.2288,0.2475,0.0187,0.0061,NO BET,HIGH RISK,0.2062,NO_BET
20,2026-06-17,FIFA World Cup,Austria,Jordan,Draw,5.43,0.1842,0.245,0.0608,0.0186,NO BET,VERY HIGH RISK,0.2058,NO_BET
68,2026-06-27,FIFA World Cup,Panama,England,Draw,5.97,0.1675,0.235,0.0675,0.0203,NO BET,VERY HIGH RISK,0.2025,NO_BET
8,2026-06-14,FIFA World Cup,Australia,Turkey,Draw,3.69,0.271,0.2662,-0.0048,0.0,NO BET,HIGH RISK,0.2015,NO_BET
32,2026-06-20,FIFA World Cup,Turkey,Paraguay,Turkey,2.21,0.4525,0.3419,-0.1106,0.0,NO BET,MEDIUM RISK,0.2013,NO_BET
34,2026-06-20,FIFA World Cup,Germany,Ivory Coast,Draw,4.22,0.237,0.2487,0.0118,0.0039,NO BET,HIGH RISK,0.2005,NO_BET
21,2026-06-17,FIFA World Cup,Portugal,DR Congo,Draw,5.72,0.1748,0.2375,0.0627,0.019,NO BET,VERY HIGH RISK,0.2002,NO_BET
46,2026-06-23,FIFA World Cup,England,Ghana,Draw,5.32,0.188,0.2437,0.0558,0.0172,NO BET,VERY HIGH RISK,0.1995,NO_BET
15,2026-06-15,FIFA World Cup,Saudi Arabia,Uruguay,Draw,4.43,0.2257,0.2425,0.0168,0.0054,NO BET,HIGH RISK,0.1993,NO_BET
29,2026-06-19,FIFA World Cup,USA,Australia,Draw,3.74,0.2674,0.2625,-0.0049,0.0,NO BET,HIGH RISK,0.1976,NO_BET
34,2026-06-20,FIFA World Cup,Germany,Ivory Coast,Ivory Coast,5.64,0.1773,0.2373,0.06,0.0182,NO BET,VERY HIGH RISK,0.1973,NO_BET
72,2026-06-28,FIFA World Cup,Jordan,Argentina,Draw,6.76,0.1479,0.2225,0.0746,0.0219,NO BET,VERY HIGH RISK,0.1971,NO_BET
26,2026-06-18,FIFA World Cup,Switzerland,Bosnia & Herzegovina,Draw,3.94,0.2538,0.255,0.0012,0.0004,NO BET,HIGH RISK,0.1962,NO_BET
36,2026-06-21,FIFA World Cup,Tunisia,Japan,Tunisia,5.19,0.1927,0.2443,0.0517,0.016,NO BET,VERY HIGH RISK,0.196,NO_BET
19,2026-06-17,FIFA World Cup,Argentina,Algeria,Draw,4.56,0.2193,0.2375,0.0182,0.0058,NO BET,HIGH RISK,0.1957,NO_BET
65,2026-06-27,FIFA World Cup,New Zealand,Belgium,Draw,5.63,0.1776,0.2362,0.0586,0.0178,NO BET,VERY HIGH RISK,0.1949,NO_BET
